"coalition","slot","assignment"
"MORENA/PT/PVEM",170,"T4"
"MORENA/PT/PVEM",171,"T2"
"MORENA/PT/PVEM",172,"T3"
"MORENA/PT/PVEM",173,"control2"
"MORENA/PT/PVEM",174,"control"
"MORENA/PT/PVEM",175,"T4"
"MORENA/PT/PVEM",176,"T2"
"MORENA/PT/PVEM",177,"T4"
"MORENA/PT/PVEM",178,"control"
"MORENA/PT/PVEM",179,"T3"
"MORENA/PT/PVEM",180,"T1"
"MORENA/PT/PVEM",181,"control"
"MORENA/PT/PVEM",182,"T4"
"MORENA/PT/PVEM",183,"T4"
"MORENA/PT/PVEM",184,"T2"
"MORENA/PT/PVEM",185,"control2"
"MORENA/PT/PVEM",186,"T3"
"MORENA/PT/PVEM",187,"T1"
"MORENA/PT/PVEM",188,"control"
"MORENA/PT/PVEM",189,"T3"
"MORENA/PT/PVEM",190,"T2"
"MORENA/PT/PVEM",191,"T4"
"MORENA/PT/PVEM",192,"T1"
"MORENA/PT/PVEM",193,"T3"
"MORENA/PT/PVEM",194,"T2"
"MORENA/PT/PVEM",195,"control2"
"MORENA/PT/PVEM",196,"control"
"MORENA/PT/PVEM",197,"T2"
"MORENA/PT/PVEM",198,"T4"
"MORENA/PT/PVEM",199,"control"
"MORENA/PT/PVEM",200,"T3"
"MORENA/PT/PVEM",201,"control2"
"MORENA/PT/PVEM",202,"T4"
"MORENA/PT/PVEM",203,"T1"
"MORENA/PT/PVEM",204,"T3"
"MORENA/PT/PVEM",205,"T4"
"MORENA/PT/PVEM",206,"T2"
"MORENA/PT/PVEM",207,"control"
"MORENA/PT/PVEM",208,"control"
"MORENA/PT/PVEM",209,"T2"
"MORENA/PT/PVEM",210,"T3"
"MORENA/PT/PVEM",211,"control"
"MORENA/PT/PVEM",212,"T2"
"MORENA/PT/PVEM",213,"control"
"MORENA/PT/PVEM",214,"T2"
"MORENA/PT/PVEM",215,"control2"
"MORENA/PT/PVEM",216,"T4"
"MORENA/PT/PVEM",217,"T4"
"MORENA/PT/PVEM",218,"T3"
"MORENA/PT/PVEM",219,"T1"
"MORENA/PT/PVEM",220,"T3"
"MORENA/PT/PVEM",221,"T3"
"MORENA/PT/PVEM",222,"T4"
"MORENA/PT/PVEM",223,"T4"
"MORENA/PT/PVEM",224,"T3"
"MORENA/PT/PVEM",225,"T1"
"MORENA/PT/PVEM",226,"control2"
"MORENA/PT/PVEM",227,"control"
"MORENA/PT/PVEM",228,"T2"
"MORENA/PT/PVEM",229,"control"
"MORENA/PT/PVEM",230,"T2"
"MORENA/PT/PVEM",231,"control"
"MORENA/PT/PVEM",232,"T1"
"MORENA/PT/PVEM",233,"T3"
"MORENA/PT/PVEM",234,"T2"
"MORENA/PT/PVEM",235,"T4"
"MORENA/PT/PVEM",236,"control"
"MORENA/PT/PVEM",237,"T4"
"MORENA/PT/PVEM",238,"control2"
"MORENA/PT/PVEM",239,"T2"
"MORENA/PT/PVEM",240,"T3"
"MORENA/PT/PVEM",241,"control"
"MORENA/PT/PVEM",242,"T4"
"MORENA/PT/PVEM",243,"T3"
"MORENA/PT/PVEM",244,"T2"
"MORENA/PT/PVEM",245,"control2"
"MORENA/PT/PVEM",246,"T4"
"MORENA/PT/PVEM",247,"control"
"MORENA/PT/PVEM",248,"T3"
"MORENA/PT/PVEM",249,"T2"
"MORENA/PT/PVEM",250,"T1"
"MORENA/PT/PVEM",251,"T4"
"MORENA/PT/PVEM",252,"T3"
"MORENA/PT/PVEM",253,"control"
"MORENA/PT/PVEM",254,"T1"
"MORENA/PT/PVEM",255,"T3"
"MORENA/PT/PVEM",256,"control"
"MORENA/PT/PVEM",257,"T2"
"MORENA/PT/PVEM",258,"control2"
"MORENA/PT/PVEM",259,"T2"
"MORENA/PT/PVEM",260,"T4"
"MORENA/PT/PVEM",261,"T1"
"MORENA/PT/PVEM",262,"T2"
"MORENA/PT/PVEM",263,"T4"
"MORENA/PT/PVEM",264,"T2"
"MORENA/PT/PVEM",265,"control"
"MORENA/PT/PVEM",266,"T3"
"MORENA/PT/PVEM",267,"T3"
"MORENA/PT/PVEM",268,"T4"
"MORENA/PT/PVEM",269,"control"
"MORENA/PT/PVEM",270,"control2"
"MORENA/PT/PVEM",271,"T3"
"MORENA/PT/PVEM",272,"T2"
"MORENA/PT/PVEM",273,"T1"
"MORENA/PT/PVEM",274,"T3"
"MORENA/PT/PVEM",275,"T2"
"MORENA/PT/PVEM",276,"control"
"MORENA/PT/PVEM",277,"T4"
"MORENA/PT/PVEM",278,"T4"
"MORENA/PT/PVEM",279,"control2"
"MORENA/PT/PVEM",280,"control"
"MORENA/PT/PVEM",281,"T3"
"MORENA/PT/PVEM",282,"T3"
"MORENA/PT/PVEM",283,"control"
"MORENA/PT/PVEM",284,"T4"
"MORENA/PT/PVEM",285,"T4"
"MORENA/PT/PVEM",286,"control2"
"MORENA/PT/PVEM",287,"T2"
"MORENA/PT/PVEM",288,"T1"
"MORENA/PT/PVEM",289,"control"
"MORENA/PT/PVEM",290,"T2"
"MORENA/PT/PVEM",291,"T3"
"MORENA/PT/PVEM",292,"T2"
"MORENA/PT/PVEM",293,"T4"
"MORENA/PT/PVEM",294,"control"
"MORENA/PT/PVEM",295,"control2"
"MORENA/PT/PVEM",296,"control"
"MORENA/PT/PVEM",297,"T4"
"MORENA/PT/PVEM",298,"T2"
"MORENA/PT/PVEM",299,"T3"
"MORENA/PT/PVEM",300,"T1"
"MORENA/PT/PVEM",301,"T1"
"MORENA/PT/PVEM",302,"T3"
"MORENA/PT/PVEM",303,"T4"
"MORENA/PT/PVEM",304,"control"
"MORENA/PT/PVEM",305,"T2"
"MORENA/PT/PVEM",306,"T3"
"MORENA/PT/PVEM",307,"control"
"MORENA/PT/PVEM",308,"control2"
"MORENA/PT/PVEM",309,"T4"
"MORENA/PT/PVEM",310,"T2"
"MORENA/PT/PVEM",311,"T4"
"MORENA/PT/PVEM",312,"T3"
"MORENA/PT/PVEM",313,"T2"
"MORENA/PT/PVEM",314,"control"
"MORENA/PT/PVEM",315,"T2"
"MORENA/PT/PVEM",316,"T1"
"MORENA/PT/PVEM",317,"T3"
"MORENA/PT/PVEM",318,"control"
"MORENA/PT/PVEM",319,"control2"
"MORENA/PT/PVEM",320,"T4"
"MORENA/PT/PVEM",321,"T4"
"MORENA/PT/PVEM",322,"T2"
"MORENA/PT/PVEM",323,"control"
"MORENA/PT/PVEM",324,"T4"
"MORENA/PT/PVEM",325,"T3"
"MORENA/PT/PVEM",326,"T1"
"MORENA/PT/PVEM",327,"T2"
"MORENA/PT/PVEM",328,"control2"
"MORENA/PT/PVEM",329,"control"
"MORENA/PT/PVEM",330,"T3"
"MORENA/PT/PVEM",331,"control2"
"MORENA/PT/PVEM",332,"T2"
"MORENA/PT/PVEM",333,"control"
"MORENA/PT/PVEM",334,"T3"
"MORENA/PT/PVEM",335,"T1"
"MORENA/PT/PVEM",336,"T2"
"MORENA/PT/PVEM",337,"T3"
"MORENA/PT/PVEM",338,"T4"
"MORENA/PT/PVEM",339,"control"
"MORENA/PT/PVEM",340,"T4"
"MORENA/PT/PVEM",341,"T3"
"MORENA/PT/PVEM",342,"T1"
"MORENA/PT/PVEM",343,"control"
"MORENA/PT/PVEM",344,"T3"
"MORENA/PT/PVEM",345,"control2"
"MORENA/PT/PVEM",346,"T2"
"MORENA/PT/PVEM",347,"T4"
"MORENA/PT/PVEM",348,"T2"
"MORENA/PT/PVEM",349,"control"
"MORENA/PT/PVEM",350,"T4"
"MORENA/PT/PVEM",351,"T2"
"MORENA/PT/PVEM",352,"T4"
"MORENA/PT/PVEM",353,"T1"
"MORENA/PT/PVEM",354,"T3"
"MORENA/PT/PVEM",355,"control2"
"MORENA/PT/PVEM",356,"control"
"MORENA/PT/PVEM",357,"T4"
"MORENA/PT/PVEM",358,"T3"
"MORENA/PT/PVEM",359,"T2"
"MORENA/PT/PVEM",360,"control"
"MORENA/PT/PVEM",361,"control"
"MORENA/PT/PVEM",362,"control"
"MORENA/PT/PVEM",363,"T4"
"MORENA/PT/PVEM",364,"T2"
"MORENA/PT/PVEM",365,"T3"
"MORENA/PT/PVEM",366,"T3"
"MORENA/PT/PVEM",367,"T1"
"MORENA/PT/PVEM",368,"T2"
"MORENA/PT/PVEM",369,"control2"
"MORENA/PT/PVEM",370,"T4"
"MORENA/PT/PVEM",371,"T3"
"MORENA/PT/PVEM",372,"control"
"MORENA/PT/PVEM",373,"T1"
"MORENA/PT/PVEM",374,"T4"
"MORENA/PT/PVEM",375,"T2"
"MORENA/PT/PVEM",376,"T3"
"MORENA/PT/PVEM",377,"T2"
"MORENA/PT/PVEM",378,"control2"
"MORENA/PT/PVEM",379,"control"
"MORENA/PT/PVEM",380,"T4"
"MORENA/PT/PVEM",381,"T3"
"MORENA/PT/PVEM",382,"control"
"MORENA/PT/PVEM",383,"T4"
"MORENA/PT/PVEM",384,"T2"
"MORENA/PT/PVEM",385,"control"
"MORENA/PT/PVEM",386,"control2"
"MORENA/PT/PVEM",387,"T4"
"MORENA/PT/PVEM",388,"T2"
"MORENA/PT/PVEM",389,"T1"
"MORENA/PT/PVEM",390,"T3"
"MORENA/PT/PVEM",391,"T4"
"MORENA/PT/PVEM",392,"T3"
"MORENA/PT/PVEM",393,"T2"
"MORENA/PT/PVEM",394,"T3"
"MORENA/PT/PVEM",395,"T4"
"MORENA/PT/PVEM",396,"T1"
"MORENA/PT/PVEM",397,"T2"
"MORENA/PT/PVEM",398,"control2"
"MORENA/PT/PVEM",399,"control"
"MORENA/PT/PVEM",400,"control"
"MORENA/PT/PVEM",401,"T3"
"MORENA/PT/PVEM",402,"T3"
"MORENA/PT/PVEM",403,"T1"
"MORENA/PT/PVEM",404,"control"
"MORENA/PT/PVEM",405,"T4"
"MORENA/PT/PVEM",406,"T2"
"MORENA/PT/PVEM",407,"T2"
"MORENA/PT/PVEM",408,"T4"
"MORENA/PT/PVEM",409,"control2"
"MORENA/PT/PVEM",410,"control"
"MORENA/PT/PVEM",411,"T1"
"MORENA/PT/PVEM",412,"control"
"MORENA/PT/PVEM",413,"T3"
"MORENA/PT/PVEM",414,"T4"
"MORENA/PT/PVEM",415,"T2"
"MORENA/PT/PVEM",416,"T3"
"MORENA/PT/PVEM",417,"control"
"MORENA/PT/PVEM",418,"T4"
"MORENA/PT/PVEM",419,"control2"
"MORENA/PT/PVEM",420,"T2"
"MORENA/PT/PVEM",421,"T4"
"MORENA/PT/PVEM",422,"control"
"MORENA/PT/PVEM",423,"T3"
"MORENA/PT/PVEM",424,"T1"
"MORENA/PT/PVEM",425,"control"
"MORENA/PT/PVEM",426,"T2"
"MORENA/PT/PVEM",427,"control2"
"MORENA/PT/PVEM",428,"T2"
"MORENA/PT/PVEM",429,"T4"
"MORENA/PT/PVEM",430,"T3"
"MORENA/PT/PVEM",431,"T3"
"MORENA/PT/PVEM",432,"T2"
"MORENA/PT/PVEM",433,"control"
"MORENA/PT/PVEM",434,"T2"
"MORENA/PT/PVEM",435,"control"
"MORENA/PT/PVEM",436,"T4"
"MORENA/PT/PVEM",437,"control2"
"MORENA/PT/PVEM",438,"T3"
"MORENA/PT/PVEM",439,"T1"
"MORENA/PT/PVEM",440,"T4"
"MORENA/PT/PVEM",441,"T4"
"MORENA/PT/PVEM",442,"T1"
"MORENA/PT/PVEM",443,"control"
"MORENA/PT/PVEM",444,"T2"
"MORENA/PT/PVEM",445,"T2"
"MORENA/PT/PVEM",446,"T3"
"MORENA/PT/PVEM",447,"control"
"MORENA/PT/PVEM",448,"T4"
"MORENA/PT/PVEM",449,"control2"
"MORENA/PT/PVEM",450,"T3"
"MORENA/PT/PVEM",451,"T4"
"MORENA/PT/PVEM",452,"control"
"MORENA/PT/PVEM",453,"control"
"MORENA/PT/PVEM",454,"control2"
"MORENA/PT/PVEM",455,"T3"
"MORENA/PT/PVEM",456,"T2"
"MORENA/PT/PVEM",457,"T1"
"MORENA/PT/PVEM",458,"T2"
"MORENA/PT/PVEM",459,"T4"
"MORENA/PT/PVEM",460,"T3"
"MORENA/PT/PVEM",461,"T3"
"MORENA/PT/PVEM",462,"T4"
"MORENA/PT/PVEM",463,"T2"
"MORENA/PT/PVEM",464,"T4"
"MORENA/PT/PVEM",465,"T1"
"MORENA/PT/PVEM",466,"T2"
"MORENA/PT/PVEM",467,"control"
"MORENA/PT/PVEM",468,"control"
"MORENA/PT/PVEM",469,"control2"
"MORENA/PT/PVEM",470,"T3"
"MORENA/PT/PVEM",471,"T3"
"MORENA/PT/PVEM",472,"control2"
"MORENA/PT/PVEM",473,"T4"
"MORENA/PT/PVEM",474,"T2"
"MORENA/PT/PVEM",475,"T2"
"MORENA/PT/PVEM",476,"T4"
"MORENA/PT/PVEM",477,"T1"
"MORENA/PT/PVEM",478,"control"
"MORENA/PT/PVEM",479,"T3"
"MORENA/PT/PVEM",480,"control"
"MORENA/PT/PVEM",481,"T4"
"MORENA/PT/PVEM",482,"T4"
"MORENA/PT/PVEM",483,"T2"
"MORENA/PT/PVEM",484,"T2"
"MORENA/PT/PVEM",485,"T3"
"MORENA/PT/PVEM",486,"control"
"MORENA/PT/PVEM",487,"control2"
"MORENA/PT/PVEM",488,"T3"
"MORENA/PT/PVEM",489,"control"
"MORENA/PT/PVEM",490,"T1"
"MORENA/PT/PVEM",491,"T1"
"MORENA/PT/PVEM",492,"T3"
"MORENA/PT/PVEM",493,"control"
"MORENA/PT/PVEM",494,"T2"
"MORENA/PT/PVEM",495,"T4"
"MORENA/PT/PVEM",496,"T4"
"MORENA/PT/PVEM",497,"T2"
"MORENA/PT/PVEM",498,"T3"
"MORENA/PT/PVEM",499,"control"
"MORENA/PT/PVEM",500,"control2"
"MORENA/PT/PVEM",501,"T4"
"MORENA/PT/PVEM",502,"T3"
"MORENA/PT/PVEM",503,"T3"
"MORENA/PT/PVEM",504,"T2"
"MORENA/PT/PVEM",505,"control2"
"MORENA/PT/PVEM",506,"control"
"MORENA/PT/PVEM",507,"T2"
"MORENA/PT/PVEM",508,"control"
"MORENA/PT/PVEM",509,"T4"
"MORENA/PT/PVEM",510,"T1"
"MORENA/PT/PVEM",511,"control"
"MORENA/PT/PVEM",512,"T3"
"MORENA/PT/PVEM",513,"control2"
"MORENA/PT/PVEM",514,"T2"
"MORENA/PT/PVEM",515,"T1"
"MORENA/PT/PVEM",516,"control"
"MORENA/PT/PVEM",517,"T2"
"MORENA/PT/PVEM",518,"T3"
"MORENA/PT/PVEM",519,"T4"
"MORENA/PT/PVEM",520,"T4"
"MORENA/PT/PVEM",521,"T3"
"MORENA/PT/PVEM",522,"T1"
"MORENA/PT/PVEM",523,"T2"
"MORENA/PT/PVEM",524,"T2"
"MORENA/PT/PVEM",525,"T4"
"MORENA/PT/PVEM",526,"T4"
"MORENA/PT/PVEM",527,"control2"
"MORENA/PT/PVEM",528,"control"
"MORENA/PT/PVEM",529,"control"
"MORENA/PT/PVEM",530,"T3"
"MORENA/PT/PVEM",531,"T1"
"MORENA/PT/PVEM",532,"T3"
"MORENA/PT/PVEM",533,"control2"
"MORENA/PT/PVEM",534,"T2"
"MORENA/PT/PVEM",535,"control"
"MORENA/PT/PVEM",536,"T4"
"MORENA/PT/PVEM",537,"T3"
"MORENA/PT/PVEM",538,"control"
"MORENA/PT/PVEM",539,"T4"
"MORENA/PT/PVEM",540,"T2"
"MORENA/PT/PVEM",541,"T2"
"MORENA/PT/PVEM",542,"control"
"MORENA/PT/PVEM",543,"T3"
"MORENA/PT/PVEM",544,"T3"
"MORENA/PT/PVEM",545,"T2"
"MORENA/PT/PVEM",546,"T1"
"MORENA/PT/PVEM",547,"control2"
"MORENA/PT/PVEM",548,"T4"
"MORENA/PT/PVEM",549,"control"
"MORENA/PT/PVEM",550,"T4"
"MORENA/PT/PVEM",551,"control"
"MORENA/PT/PVEM",552,"T1"
"MORENA/PT/PVEM",553,"T2"
"MORENA/PT/PVEM",554,"T3"
"MORENA/PT/PVEM",555,"T4"
"MORENA/PT/PVEM",556,"T4"
"MORENA/PT/PVEM",557,"T2"
"MORENA/PT/PVEM",558,"control2"
"MORENA/PT/PVEM",559,"T3"
"MORENA/PT/PVEM",560,"control"
"MORENA/PT/PVEM",561,"control"
"MORENA/PT/PVEM",562,"T3"
"MORENA/PT/PVEM",563,"T1"
"MORENA/PT/PVEM",564,"T2"
"MORENA/PT/PVEM",565,"T2"
"MORENA/PT/PVEM",566,"T4"
"MORENA/PT/PVEM",567,"control"
"MORENA/PT/PVEM",568,"T3"
"MORENA/PT/PVEM",569,"control2"
"MORENA/PT/PVEM",570,"T4"
"MORENA/PT/PVEM",571,"T2"
"MORENA/PT/PVEM",572,"control"
"MORENA/PT/PVEM",573,"control"
"MORENA/PT/PVEM",574,"control2"
"MORENA/PT/PVEM",575,"T1"
"MORENA/PT/PVEM",576,"T3"
"MORENA/PT/PVEM",577,"T4"
"MORENA/PT/PVEM",578,"T3"
"MORENA/PT/PVEM",579,"T2"
"MORENA/PT/PVEM",580,"T4"
"MORENA/PT/PVEM",581,"T2"
"MORENA/PT/PVEM",582,"T1"
"MORENA/PT/PVEM",583,"T3"
"MORENA/PT/PVEM",584,"T4"
"MORENA/PT/PVEM",585,"control"
"MORENA/PT/PVEM",586,"control"
"MORENA/PT/PVEM",587,"T2"
"MORENA/PT/PVEM",588,"T3"
"MORENA/PT/PVEM",589,"T4"
"MORENA/PT/PVEM",590,"control2"
"MORENA/PT/PVEM",591,"T4"
"MORENA/PT/PVEM",592,"T3"
"MORENA/PT/PVEM",593,"T2"
"MORENA/PT/PVEM",594,"T4"
"MORENA/PT/PVEM",595,"T2"
"MORENA/PT/PVEM",596,"control"
"MORENA/PT/PVEM",597,"control"
"MORENA/PT/PVEM",598,"control2"
"MORENA/PT/PVEM",599,"T1"
"MORENA/PT/PVEM",600,"T3"
"MORENA/PT/PVEM",601,"control"
"MORENA/PT/PVEM",602,"T4"
"MORENA/PT/PVEM",603,"T3"
"MORENA/PT/PVEM",604,"control2"
"MORENA/PT/PVEM",605,"control"
"MORENA/PT/PVEM",606,"T1"
"MORENA/PT/PVEM",607,"T2"
"MORENA/PT/PVEM",608,"T2"
"MORENA/PT/PVEM",609,"T4"
"MORENA/PT/PVEM",610,"T3"
"MORENA/PT/PVEM",611,"T2"
"MORENA/PT/PVEM",612,"T4"
"MORENA/PT/PVEM",613,"T3"
"MORENA/PT/PVEM",614,"control"
"MORENA/PT/PVEM",615,"control"
"MORENA/PT/PVEM",616,"T4"
"MORENA/PT/PVEM",617,"T2"
"MORENA/PT/PVEM",618,"control2"
"MORENA/PT/PVEM",619,"T1"
"MORENA/PT/PVEM",620,"T3"
"MORENA/PT/PVEM",621,"T3"
"MORENA/PT/PVEM",622,"T2"
"MORENA/PT/PVEM",623,"control"
"MORENA/PT/PVEM",624,"T4"
"MORENA/PT/PVEM",625,"control2"
"MORENA/PT/PVEM",626,"T3"
"MORENA/PT/PVEM",627,"control"
"MORENA/PT/PVEM",628,"T2"
"MORENA/PT/PVEM",629,"T4"
"MORENA/PT/PVEM",630,"T1"
"MORENA/PT/PVEM",631,"T3"
"MORENA/PT/PVEM",632,"T2"
"MORENA/PT/PVEM",633,"control2"
"MORENA/PT/PVEM",634,"T2"
"MORENA/PT/PVEM",635,"T4"
"MORENA/PT/PVEM",636,"control"
"MORENA/PT/PVEM",637,"control"
"MORENA/PT/PVEM",638,"T4"
"MORENA/PT/PVEM",639,"T3"
"MORENA/PT/PVEM",640,"T1"
"MORENA/PT/PVEM",641,"T4"
"MORENA/PT/PVEM",642,"T2"
"MORENA/PT/PVEM",643,"control2"
"MORENA/PT/PVEM",644,"T2"
"MORENA/PT/PVEM",645,"T3"
"MORENA/PT/PVEM",646,"control"
"MORENA/PT/PVEM",647,"T4"
"MORENA/PT/PVEM",648,"control"
"MORENA/PT/PVEM",649,"T3"
"MORENA/PT/PVEM",650,"T1"
"MORENA/PT/PVEM",651,"T1"
"MORENA/PT/PVEM",652,"T4"
"MORENA/PT/PVEM",653,"T4"
"MORENA/PT/PVEM",654,"T3"
"MORENA/PT/PVEM",655,"T2"
"MORENA/PT/PVEM",656,"T2"
"MORENA/PT/PVEM",657,"T3"
"MORENA/PT/PVEM",658,"control"
"MORENA/PT/PVEM",659,"control"
"MORENA/PT/PVEM",660,"control2"
"MORENA/PT/PVEM",661,"T2"
"MORENA/PT/PVEM",662,"T3"
"MORENA/PT/PVEM",663,"T4"
"MORENA/PT/PVEM",664,"T3"
"MORENA/PT/PVEM",665,"control2"
"MORENA/PT/PVEM",666,"T2"
"MORENA/PT/PVEM",667,"T4"
"MORENA/PT/PVEM",668,"control"
"MORENA/PT/PVEM",669,"T1"
"MORENA/PT/PVEM",670,"control"
"MORENA/PT/PVEM",671,"T2"
